city,year,time,temperature_mean,temperature_std,precipitation_mean,precipitation_std,soil_mean,soil_std
London,1950,1950-07-02 00:00:00,10.320978473581214,2.6089206845148185,1.5538238747553814,2.1815877646890423,0.33058904109589027,0.02617651185587022
London,1951,1951-07-02 00:00:00,9.996007827788649,2.5623148241496265,1.916183953033268,2.6960584085776205,0.3370493150684932,0.032507539146055524
London,1952,1952-07-01 12:00:00,10.25288836846214,2.737210357914742,1.7854839968774396,2.5693293830236983,0.3214494535519124,0.03632712788702363
London,1953,1953-07-02 00:00:00,10.47761252446184,2.621626867257466,1.8097729941291585,2.608935686508352,0.33542054794520526,0.02372972866507951
London,1954,1954-07-02 00:00:00,10.113737769080236,2.7001292004764488,1.7331624266144816,2.428733064355514,0.32847808219178093,0.027650781062672866
London,1955,1955-07-02 00:00:00,10.423365949119374,2.6522001809600333,1.6756868884540117,2.5009025130355447,0.35102328767123264,0.034338267661730267
London,1956,1956-07-01 12:00:00,9.920765027322405,2.658925083542145,1.575862607338017,2.4120786104910166,0.33339071038251344,0.024393251965194967
London,1957,1957-07-02 00:00:00,10.437221135029354,2.8780843097301783,1.7895812133072406,2.6280586361915086,0.3388671232876717,0.024957963457606286
London,1958,1958-07-02 00:00:00,10.508884540117418,2.562388604808653,1.6308336594911939,2.3372651422236106,0.3188301369863015,0.02437096796527881
London,1959,1959-07-02 00:00:00,10.487632093933465,2.589990040701455,1.8632876712328768,2.7559940847672664,0.3348438356164384,0.024878535024651077
London,1960,1960-07-01 12:00:00,10.031069476971117,2.597678662929633,1.7060577673692428,2.41679501350074,0.3296939890710382,0.02435847622185792
Madrid,1950,1950-07-02 00:00:00,13.602544031311155,2.7301173819708526,1.2019099804305284,2.1970526677948405,0.25442465753424687,0.03191473181717039
Madrid,1951,1951-07-02 00:00:00,13.630606653620353,2.8484194535079257,1.3481448140900194,2.3170910835421576,0.2558082191780821,0.0594705862160675
Madrid,1952,1952-07-01 12:00:00,13.454761904761904,2.9226049982647018,1.5022833723653395,2.6855187669769736,0.24878142076502757,0.04434680069769409
Madrid,1953,1953-07-02 00:00:00,13.621213307240705,2.6486257761472687,1.2123835616438356,2.1325870312469317,0.2451369863013702,0.03676180350629024
Madrid,1954,1954-07-02 00:00:00,13.528884540117417,2.855577385571739,1.180481409001957,2.2134459236540898,0.23015068493150712,0.03388300713137728
Madrid,1955,1955-07-02 00:00:00,13.748767123287672,2.96640002138679,1.1140704500978473,2.1536439122501774,0.24067671232876725,0.03300348253231239
Madrid,1956,1956-07-01 12:00:00,13.358235753317722,2.9468759256033685,1.12435987509758,2.036554873079138,0.24901639344262327,0.031560919064107774
Madrid,1957,1957-07-02 00:00:00,13.477690802348338,2.8859185693411846,1.2462504892367905,2.251834284850843,0.24283424657534267,0.03827094373243904
Madrid,1958,1958-07-02 00:00:00,13.878277886497065,2.777845349316317,1.1635929549902153,2.023712811744506,0.2310095890410962,0.045919320642369144
Madrid,1959,1959-07-02 00:00:00,13.607866927592955,2.827243905588763,1.3872798434442268,2.300745769220462,0.21523424657534268,0.0281079788718784
Madrid,1960,1960-07-01 12:00:00,13.504996096799374,2.7669075395757696,1.2427283372365339,2.12034962041137,0.22488387978142074,0.039437624929948054
Rio,1950,1950-07-02 00:00:00,23.07225048923679,2.248496579041565,2.7128610567514677,4.449195661755976,0.21668493150684925,0.03055088750496397
Rio,1951,1951-07-02 00:00:00,22.874520547945206,2.4430825993518517,3.175037181996086,5.353809740463026,0.20822465753424638,0.04086496011602478
Rio,1952,1952-07-01 12:00:00,23.301639344262295,2.31429445359002,2.5682279469164713,4.2210804097302255,0.2406926229508197,0.040674095804154035
Rio,1953,1953-07-02 00:00:00,23.0787084148728,2.344854050044363,3.2684461839530337,5.585133624947428,0.22221369863013699,0.03587452979181501
Rio,1954,1954-07-02 00:00:00,22.932211350293542,2.2713158070386332,2.8329628180039137,4.90159574395613,0.2105342465753425,0.03631235481249496
Rio,1955,1955-07-02 00:00:00,22.572954990215266,2.375612976457421,2.835491193737769,4.645856919176229,0.19282739726027395,0.04250777258300058
Rio,1956,1956-07-01 12:00:00,22.532279469164717,2.320549491181045,3.415671350507416,6.04010022503098,0.22586612021857924,0.03999596880908172
Rio,1957,1957-07-02 00:00:00,23.155655577299417,2.399643215277857,3.0125518590998044,5.266026416844794,0.19666027397260288,0.05086906811067497
Rio,1958,1958-07-02 00:00:00,23.103874755381604,2.33346238526271,3.2307866927592954,5.339224401912906,0.23393424657534265,0.04356940139420672
Rio,1959,1959-07-02 00:00:00,23.169745596868886,2.326677954736627,3.175819960861057,5.490672393649228,0.20655890410958902,0.04340666997059117
Rio,1960,1960-07-01 12:00:00,23.238563622170183,2.321492681540974,2.7640359094457456,4.6946836026673875,0.23763387978142086,0.04639084161161582
